Title,Content,Date,keywords
Anatomy of a campaign,"The box just said ""Scharffen Berger"" on the return label.
I opened it up and there was a simple hand-written note. It said, ""Seth, have you ever tasted a chocolate bar like this before? Regards, Raymond Major."" His business card was stapled to the note. His title? Senior Staff Scientist.
Attached: exactly one three-ouncechocolate bar, in grey cardboard. The bar itself was wrapped in a waxed-paper like substance, hand folded with a label.
And the chocolate (Tome-Acu 68%) was mind-blowingly good.
Handmade, anticipated and wonderful. From a division of Hershey!
So, what exactly happened here?
So, you ask, what if I (the marketer) don't know the blogger or the reporter? What if I don't have permission? What if they don't care about me? What if my product is mediocre?
Alas, the answer isn't good. The answer is: tough. Is this an unreasonable expectation? Lengths too great to have to go to? Well, it's cheaper than buying an ad on the Super Bowl or even buying shelf space at the Safeway.
The way to win is to make things that tiny (or large!) groups want to talk about, or care about, or engage in. That's the story that spreads.
PS as I finished writing this, I got a letter in the mail at home from the local Mexican restaurant. They probably purchased the address of every single person in town from a mailing list broker. It's cheap. Add a stamp and a return address that's interesting (why are they writing to me) and I'll open it.
It was a letter apologizing to the town for how lousy the restaurant had been since it opened three months ago and how hard they were working to fix it and how much they appreciated everyone's feedback. It had a real name at the bottom, a phone number and a $10 gift certificate attached. Wow.",,"Marketing, Chocolate, Customer Engagement"
Good guys finish…,"I got a note yesterday that said, ""I'll be curious to know if it's possible to succeed and to stay clean as I see a lot of dirty ""crooks"" out there. I am trying to work with good ethics, but I see a lot of successful people talking/teaching ""black Hats"" strategies that scare me.""
Spiritual businessis an interesting concept. Is what you do all day at work part of who you are? Is it possible to be a deceitful crook all week but a good person on the weekend?
Can you succeed financially by acting in an ethical way?
I think the Net has opened both ends of the curve. On one hand, black hat tactics, scams, deceit and misdirection are far easier than ever to imagine and to scale. There are certainly people quietly banking millions of dollars as they lie and cheat their way to traffic and clicks.
On the other hand, there's far bigger growth associated with transparency. When your Facebook profile shows years of real connections and outreach and help for your friends, it's a lot more likely you'll get that great job.
When your customer service policies delight rather than enrage, word of mouth more than pays your costs. When past investors blog about how successful and ethical you were, it's a lot easier to attract new investors.
The Net enlarges the public sphere and shrinks the private one. And black hats require the private sphere to exist and thrive. More light = more success for the ethical players.
In a competitive world, then, one withincreasinglight, the way to win is not to shave more corners or hide more behavior, because you're going against the grain, fighting the tide of increasing light. In fact, the opposite is true. Individuals and organizations that can compete on generosity and fairness repeatedly defeat those that only do it grudgingly.","January 24, 2009","Ethics, Success, Transparency"
"Lonely, scared & bitter",,"January 23, 2009","Lonely, Scared, Bitter"
Easiest cheap way to dramatically increase sales,"Call your customers. Or write to them.
""I know that times might be tough for you. Is there anything I can do to pitch in and help?""
You'll end up doing a lot for your customers. Which is a wonderful privilege. Even for those that don't reciprocate.","January 23, 2009","increase sales, customer engagement, support"
The London Session,"I'll be doing a rare public event in London, UK in February.
All thedetails and ticketsfrom the sponsor have just been posted. Hope to see you there.","January 22, 2009","London, event, tickets"
The five pillars of success,It sure seems like we spend all our time on #4.,,"success, pillars, focus"
That’s a special case,"The reason it’s so difficult for people in traditional industries to embrace new models online is that the transition isn’t structured in an orderly way.
The new business isn’t the same as the old business, just with computers.
People look at PCWorld magazine and they say, ""that will never work online."" And they’re right, it won’t, because the business is organized around print and monthly or weekly editions and display ads and a sales force and …
""Our business will never work online.""
And they’re right.
ButMashableworks just great online. And so doesLifehacker.
""But that’s a special case!""
Exactly. But theNew Yorkerwas a special case too. There are plenty of topics that couldn’t support a magazine the way the magical mix of this magazine could.
Real estate online is a special case. Classifieds. Coaching. Commerce. Directories. In fact, everything online is a special case, different rules, different economics, different expectations.","January 21, 2009","online business transition, traditional industries, special case"
What marketers actually sell,"Not powder or chemicals or rubber or steel or silicon or talk or installations or even sugary water.
What marketers sell is hope.
The reason is simple: people need more. We run out. We need it replenished. Hope is almost always in short supply.
The magical thing about selling hope is that it makes everything else work better, every day get better, every project work better, every relationship feel better. If you can actually deliver on the hope you sell, there will be a line out the door.
Hope cures cynicism. Hope increases productivity. Hope needs no justification.","January 20, 2009","hope, marketing, productivity"
The best middle name ever,"It’s not Warren or Susan or Otis or Samuel or Tricia.
It’s ""The.""
As in Attila The Hun or Alexander The Great or Zorba The Greek.
When your middle name is ‘The’, it means you’re it. The only one. The one that defines the category. I think that focus is a choice, and that the result of appropriate focus is you earn the middle name.
Jordan’s Furniture in Waltham wastheplace to go for that sort of thing. Bocce Pizza and the Anchor Bar weretheplaces in Buffalo when I was growing up. Google is more appropriately called Google the search engine.
Seek the.
Of course, Winnie the Pooh is the exception that proves the rule.",,"middle name, focus, uniqueness"
Rubbernecking,"I hate rubberneckers. Or at least I despise the human nature that creates that behavior.
Someone is in a horrible car wreck, so what happens? People slow down to look.
Leaving aside the time tax they place on the people behind them (once I was in a three hour jam due to rubber necking of a death on the other side of the road, across the median), what are these people doing? People who wouldn’t dream of paying money to watch a snuff film are indulging their curiosity to see carnage on the side of the road and paying with their time and attention.
You know the punchline: the Net is suddenly filled with rubberneckers. People who spend their time at work watching flame wars or indulging their desire to act like trolls, just to get a response. They race to post about plane crashes or server crashes, and they have no trouble investing an hour in debating something that just makes them feel sick.
Move on folks. There’s nothing to see here. Important stuff to do over there…
I know it’s hopeless. I’ll never persuade everyone not to rubberneck. But maybe I can persuadeyou.","January 19, 2009","Rubbernecking, curiosity, online behavior"
Love (and annoying),"The goal is to create a product that people love. If people love it, they’ll forgive a lot. They’ll talk about it. They’ll promote it. They’ll come back. They’ll be less price sensitive. They’ll bring their friends. They’ll work with you to make it better.
If you can’t do that, though, perhaps you can make your service or product less annoying.
I understand that ""love"" and ""annoying"" are rarely two ends of the spectrum, but in this case, I think they are.
I think smart marketers at Apple work to make products that people love. Smart marketers at American Airlines ought to work at making an airline that isn’t annoying.
Firefox used to be a product that people loved. Compared to the alternatives, it was magical. You could go on a quest to promote it and improve it.
At that point, a few years ago, the Firefox movement had a choice. Either continue to make it ever more quirky and lovable (engaging a small audience, but with more passion), or work to make it less annoying (and allow it reach more people). Today, peoplelike(not love) Firefox, they continue to use it, the idea spreads, but slowly. The goal has been chosen by the Firefox folks: to continue to make it less annoying. That’s disappointing to the passionate, but it’s a strategy.
Another example: I use iCal to keep track of my schedule. It defaults new appointments to 9 am, and if the appointment isn’t at 9 am, I have to manually change it. Makes sense. Problem: If the appointment is at 4 pm, and I change the 9 to a 4, iCal sets the alarm to go off at 4am.Hey, wait a minute. I have never, ever had an appointment at 4 am. Doesn’t iCal know this? Why is it so annoying! No one is ever going to love iCal as it stands, or even with some simple improvements, so why don’t the engineers spend time making it less annoying instead?
What could iCal do to make the product something you would love? Really love? Clearly, that would require an overhaul. What could they do to make it less annoying? 100 little things, easy to do.
Example: Momofuku was a New York restaurant beloved by many people. People loved it because (not in spite of) how annoying they could be. They were annoyingly inflexible. They didn’t have particularly comfortable seating, or great waiters. And the flagship restaurant makes getting a reservation almost impossible. The quirkiness was part of the deal. Something to talk about when you brought a friend…
If all they did was think of ways to be less annoying, the restaurant wouldn’t get better for the people who loved it, it would get worse. Unfortunately, they got really popular, forgot what made them lovable and crossed a line. The annoying parts got really annoying, and they forgot to dream up new ways to be beloved. I gave up. It flipped and I hate it now. It’s unlovedandannoying. Boy are customers like me fickle.
Think of the pretty ordinary things you do or places you go. Could they be less annoying? What if the marketers there spent time and money to eliminate annoying? No, it’s not the sort of big time stuff that leads to love, but they’re probably not going to get to love anyway. I’m not going to love my dry cleaner or the post office. But if they made them less annoying, I’d spend more money and go more often. Face it, you use Fedex because it’s less annoying than the post office, not because you love them.
I think there’s a chasm here. You don’t go for love and end up with less annoying. You need to do one or the other. There are products and services I love that are annoying, but that’s okay, because that’s part of being in love. And there are products and services that are annoyance-free, but I don’t love them. That’s okay too. I like them just fine.
Put a sign on your office door, or send a memo to the team. It should say either, ""Everything we do needs to make our product less annoying"" or ""Everything we do should be idiosyncratic and engage people and invite them to fall in love with us. That’s not easy, which is why it’s worth it."" Can’t have both. Must do one.","January 18, 2009","Love, annoying, product strategy"
Who you are and what you do,"The neat thing about the online world is that you are judged almost entirely by your actions, usually based on just your fingers.
If you do generous things, people think you are a generous person.If you bully people, people assume you are a bully.If you ask dumb questions, people figure you’re dumb.Answer questions well and people assume you’re smart and generous.… you get the idea.
This leads to a few interesting insights.
1. If people criticize you, they are actually criticizing your behavior, not you.2. If you’re not happy with the perception you generate, change the words you type and the messages you send.3. When you hear from someone, consider the source. Trolls are almost always trolls through and through, which means that you have no obligation to listen, to respond or to placate. On the other hand, if you can find a germ of truth, can’t hurt to consider it.
The biggest takeaway for me is this: online interactions are largely expected to be intentional. On purpose. Planned. People assume you did stuff for a reason.
Be clear, be generous, be kind. Can’t hurt.","January 17, 2009","online behavior, perception, intentional interactions"
National Day of Service,"Monday, January 19 is Martin Luther King Day. And wonderfully, instead of adding yet another shopping day to the calendar, it’s being transformed to a day of service.
If every person in the US spent an hour doing something selfless, useful and leveraged, what would happen? What if you and your circle committed to doing it an hour a day for a year? 300 million hours is a lot of hours for just one day, a year of that would change everything.
While I applaud stopgap contributions like helping out in a soup kitchen (where labor and supplies are really needed), I wonder how those that are lucky enough to be web savvy can create work that really adds leverage. What if you did one of these things every day?
Here are some ideas that you can do online or in your community, with time, not so much with money.
If you want to add some brainstorms to the list, here’s aplexojust waiting for your ideas.","January 16, 2009","National Day of Service, Martin Luther King Day, community service"
What tools should Twitter add?,"Darrenwants to know.
Twitter is a protocol, of course, not a company or even a platform. They’ve made it so open that just about any tool you can imagine has been built or is about to be.
You can find really good coverage of new Twitter toolshereandhereandhere.
The smart kids at Squidoo just launched a new tool, too. You canshout outfor our hero Guy Kawasaki or build your own storm. I’m still waiting for someone to start a ‘smart’ list and of course a ‘stupid’ one. Have fun.","January 15, 2009","Twitter, tools, Squidoo"
You’re boring,"If the marketplace isn’t talking about you, there’s a reason.
If people aren’t discussing your products, your services, your cause, your movement or your career, there’s a reason.
The reason is that you’re boring. (I guess that’s what boring means, right?) And you’re probably boring on purpose. You have boring pricing because that’s safer. You have a boring location because to do otherwise would be nuts. You have boring products because that’s what the market wants. That boring staff? They’re perfectly well qualified…
You don’t get unboring for free. Remarkable costs time and money and effort, but most of all, remarkable costs a willingness to be wrong. [There’s more in aninterviewI just did with John.]
Remarkable is a choice.",,"boring, remarkable, marketplace"
"When newspapers are gone, what will you miss?","Years and years after some pundits began predicting the end of newspapers, the newspapers themselves are finally realizing that it’s over. Huge debt, high costs, declining subscription rates, plummeting ad base–will the last one out please turn off the lights.
On their way out, though, we’re hearing a lot of, ""you’ll miss us when we’re gone…"" laments. I got to thinking about this. It’s never good to watch people lose their livelihoods or have to move on to something new, even if it might be better. I respect and honor the hard work that so many people have put into newspapers along the way. If we make a list of newspaper attributes and features, which ones would you miss?
Woodpulp, printing presses, typesetting machines, delivery trucks, those stands on the street and the newsstand… I think we’re okay without them.
The sports section? No, that’s better online, and in no danger of going away, in fact, overwritten commentary by the masses is burgeoning.
The weather? Ditto. Comics are even better online, and I don’t think we’ll run out of those.
Book and theater and restaurant reviews? In fact, there are more of these online, often better, definitely more personal and relevant, and also in no danger of going away.
The full page ads for local department stores? The free standing inserts on Sunday? The supermarket coupons? Easily replaced.
How about the editorials and op eds? Again, I think we’re not going to see opinion go away, in fact, the web amplifies the good stuff.
What’s left is local news, investigative journalism and intelligent coverage of national news. Perhaps 2% of the cost of a typical paper. I worry about the quality of a democracy when the the state government or the local government can do what it wants without intelligent coverage. I worry about the abuse of power when the only thing a corrupt official needs to worry about is the TV news. I worry about the quality of legislation when there isn’t a passionate, unbiased reporter there to explain it to us.
But then I see the in depth stories about the gowns to be worn to the inauguration or the selection of the White House dog and I wonder if newspapers are the most efficient way to do this anyway.
The web has excelled at breaking the world into the tiniest independent parts. We don’t usethisto supportthatonline. Things support themselves. The food blog isn’t a loss leader for the gardening blog. They’re separate, usually run by separate people or organizations.
Punchline: if we really care about the investigation and the analysis, we’ll pay for it one way or another. Maybe it’s a public good, a non profit function. Maybe a philanthropist puts up money for prizes. Maybe the Woodward and Bernstein of 2017 make so much money from breaking a story that it leads to a whole new generation of journalists.
The reality is that this sort of journalism is relatively cheap (compared to everything else the newspaper had to do in order to bring it to us.) Newspapers took two cents of journalism and wrapped in ninety-eight cents of overhead and distraction. The magic of the web, the reason you should care about this even if you don’t care about the news, is that when the marginal cost of something is free and when the time to deliver it is zero, the economics become magical. It’s like 6 divided by zero. Infinity.
I’m not worried about how muckrakers will make a living. Tree farmers, on the other hand, need to find a new use for newsprint.","January 14, 2009","newspapers, journalism, digital transition"
Traffic magnets,"Here’s a trick that’s as old as the web: Run a popularity contest with public voting. It could be anything from a listing of the top blogs to a creative contest for best tagline or ad.
The nominees run around like crazy, hoping to get their friends to vote. Which of course brings you more traffic. This is a large part of the strategy behind Threadless.
I get invited to vote in these all the time, to participate as a nominee regularly and most vexing, to post them here as a way of helping this person or that person achieve some sort of nirvana.
My feeling is that most of the time the cause is too thin and the prize is too lame. If your blog gets picked as the most popular woodworking blog by some other blog, it’s really unlikely that you’ll find many benefits other than a nice smile for your ego. On the other hand, if you can offer a great prize and/or be useful and relevant, this is a permanent tool in the web toolbox for you.
As I’ve said, I don’t promote these. But, just this one time, I’m breaking my rule for Becky, who didn’t even ask me to mention this, and for my friend Dan Pink, who has written another terrific book. If you’d be so kind to visitDan’s siteand vote for ""stay hungry,"" it’s quite likely that Becky will win a paid for trip to TED UK, which she deserves and will benefit from.(She’s only a hundred votes out of first place as I write this).
I promise to do something like this no more than once a year, so wait unto 2010 before you send me a note about your contest! Thanks.",,"Traffic, Contest, Voting"
Don’t get sued,"If you write online, on a blog, on Twitter, on Squidoo, even in the comments section of a site, you are a published author.
Congratulations.
Before you write something negative about another person, you need to realize that the casual nature of your post doesn’t protect you from a lawsuit. Charles Glasser is an expert on this and anew edition of his bookjust came out. You should consider reading it, or be sure to hire an editor who did. It’s more sophisticated than a quick overview, but you know you’re getting the straight scoop.","January 13, 2009","lawsuit, online writing, defamation"
Beauty as a signaling strategy,"What’s beauty? You know it when you see it, sure, but what is it? It turns out that beauty is an important evolutionary byproduct.
An organism needs to invest energy in being beautiful. You won’t see healthy skin on a sick animal, because maintaining a healthy coat is too ‘expensive’. A sick peacock isn’t as spectacular as a healthy one. Or a genetically damaged chimp isn’t going to have as symmetrical a face. As a result, most creatures evolved their definitions of beauty in a mate to match the displays of healthy creatures.
Human beings have adopted this signaling strategy with a vengeance. I know a woman who is going to spend more than $9,000 having her hair styled in 2009 (hey, that’s less than $200 a week). Entire industries are based on human beings spending time and money in order to manufacture temporary physical beauty.
Businesses build lobbies that they rarely use, giant atriums with big windows and lots of empty space. It’s a waste, it’s expensive and it’s beautiful. It’s beautifulbecauseit’s expensive.
Stop for a minute and think about the relationship between expense and beauty.
Do you make something beautiful? It could be the way you write hand written letters or leave a little extra on the product, even if maybe it’s not so efficient. Sometimes efficiency is beautiful, but only when it took a lot of extra effort to get there. Ordinary products are almost never beautiful. Austere products might be, but only when real effort is expended to make them that way.
Even the most hard-hearted people are suckers for beauty. We treat people and products differently when we think they’re beautiful. The reason people and organizations have invested so much in beauty over the years is that beauty pays off.
A website that doesn’t cram ads into every single nook and cranny is more beautiful… it’s also more expensive to run in the short run. A salesperson who doesn’t squeeze you for every penny is more confident, earning more of your trust–that’s beautiful.
When everyone has it, it ceases to be beautiful. (Babies are beautiful because time takes their babyhood away so quickly… it’s a guaranteed temporary effect). Beauty is a signal, not just a physical state.",,"Beauty, Signaling Strategy, Evolutionary"
In the mood,"Songsabout romance don’t tell you how to make out, they merely encourage it. It’s not the data that people seek, it’s the mood.
If all we needed to do great work was information, our problems would be over. The internet is the greatest repository anyone could imagine… if you want to knowhowto do something, the Net will show you how.Anything.
The how, of course, is not important. Books and songs and movies that have an impact work because they motivate us to take action, not because they show us exactly what to do.
Did you not have enough information or expertise to start a successful business during the last boom? Or the boom before that? Are you so ill-informed that you are unable to make a profitable sales call, unable to answer the phone, unable to persuade someone to join your cause? That’s unlikely.
We don’t have a knowledge shortage.Far from it.
I get very annoyed at pundits who criticize a book for not having enough proof, not enough data, not enough rigorous case studies. I am disappointed at people who hesitate to start something important because they’re just waiting to learn enough or know enough or to figure out the answer.
It’s like the annoying kid at the magic show shouting, ""I know how you did that trick!"" Of course you do.
The question isn’t, ""how do you do the trick?"" The question is, ""do you feel like doing the work, taking the risk, making a stand and getting it done?"" If you don’t know how to do the trick, go look it up. Get a tutor. Figure it out. That’s the easy part.
You already know how to deliver excellent service that blows people away. You just don’t feel like it. Your organization has the resources to buy that machine or enter that market or change that policy. They’re just not in the mood.
If I accomplish anything on a good day, it’s helping you change attitudes. I’m working hard at getting you in the mood to do the things you already know how to do. I think that’s what your boss/the market wants you to do as well.","January 12, 2009","mood, motivation, action"
How to send a personal email,"Here are some easy to follow tips that will help you avoid being seen as a spammer, or having your emails trashed or ignored. The thing is this: email reduces friction. Greedy, lazy organizations have embraced this and tried to figure out how to blast as many emails as they can as cheaply as they can, relying on the law of large numbers. The real law of large numbers is, ""using large numbers is against the law.""
I want you to add friction back in. If you want to be seen as being personal, the best strategy is to be personal, which is slow and expensive.","January 11, 2009","personal email, spam, communication tips"
