Title,Content,Date,keywords
In search of a biz monkey (why bother?),"Andrew Chencoinsa great term. A biz monkey is a replaceable, Powerpoint toting, suit wearing, acronym-spewing middle manager business dude drone. They are quick to comment and sneer, slow to actually ship.
When something is scarce, it's valuable. MBA's with buzzwords and the ability to raise a million dollars around some web idea are not scarce. They are fungible.
People who understand technology and are willing to bend it to their will, on the other hand, are scarce. They can't be found with a classified ad on Craigslist or in a blind project ad on eLance.
The job of the smart business person isn't to fish in waters where coders are cheap. It's to have enough initiative and vision that the best coders in the world will realize that they'll do better with you than without you.
Business people add value when they make things happen, not when they seek to hire cheap.","April 13, 2011","biz monkey, middle manager, value creation"
Wasting the digital dividend,"The internet means that many time-consuming forms of white-collar drudgery have disappeared, or at least been offloaded to cheaper people who aren't you, permitting you to spend more time on things that are actually productive and highly leveraged.
No more standing in line at the copier, trudging to the Fedex box, waiting two weeks for a letter to be returned, leaving voice mails, searching for the right person to contact, waiting months to learn a skill or a fact, discovering that a project is hopelessly broken, and on and on.
It's a little like the bump we got after the Cold War ended. The peace dividend was there, just waiting for us to repurpose our military, our military budget and our military research. We didn't. We squandered the window, wasted the money and didn't rush to fill it with the sort of top-down industrial projects (like high speed rail and efficient new forms of energy) that could have changed everything.
So, what are you going to do with the digital dividend? Cruise Facebook?","April 12, 2011","digital dividend, productivity, wasted opportunities"
How to fail,"There are some significant misunderstandings about failure. A common one, similar to one we seem to have about death, is that if you don't plan for it, it won't happen.
All of us fail. Successful people fail often, and, worth noting, learn more from that failure than everyone else.
Two habits that don't help:
While it may seem like these two choices increase your chances for survival or even promotion, in fact they merely insulate you from worthwhile failures.
I think it's worth noting that my definition of failure does not include  being unlucky enough to be involved in a project where random external  events kept you from succeeding. That's the cost of showing up, not the  definition of failure.
Identifying these random events, of course, is part of the art of doing ever better. Many of the things we'd like to blame as being out of our control are in fact avoidable or can be planned around.
Here are six random ideas that will help you fail better, more often and with an inevitably positive upside:
If that list frightened you, you might be getting to the nub of the matter. If that list feels like the sort of thing you'd like your freelancers, employees or even bosses to adopt, then perhaps it's resonating as a plan going forward for you.","April 11, 2011","failure, learning, habits"
The free market,"Companies that operate in a free market generally work as hard as they can to make that market not free.
By creating lock in, monopolies, patent protection, long term contracts, chasms in pricing and other barriers to entry, companies profit out of proportion to their risk or investment. That's their job.
Acting on their own behalf, self-interested companies will almost always work to make the playing field unlevel, to create loopholes and to generate barriers that keep the market unfree. It's what their owners profit from.
Their adversaries? Technological change, enforced transparency and regulation in favor of consumer protection and against monopolies. There's no question that an unfettered authoritarian corporate regime is more efficient and effective–in the short run. In the long run, though, the free market triumphs, as long as it isn't destroyed by those that get to play first.
The free market is a great idea, which is why we need to be careful when market incumbents lobby to make it un-free.","April 10, 2011","free market, monopolies, consumer protection"
Why makers should think a little bit more like managers (and vice versa),"Paul Graham, as usual, is thought provoking.
There's no question that programmers, designers, writers and others that do their best work in a moment of flow do themselves and their organizations a disservice when they are ruled by the clock and spend a lot of it in meetings.
Paul's argument is that makers should be insulated from this sort of wasteful nonsense.
The essay is one of his best ever, but I think he needs to add a key point…
Managers need  to act more like makers, because making is more important than ever  before. Even the most Outlook-driven manager can benefit from finding the isolation to do truly challenging work.
Makers need to be disciplined enough to interact like  managers, else they will become pawns in a system they don't  sufficiently influence. If you're not present when decisions are getting made, my guess is that you won't like what gets decided…
Neither side gets to insist on just one way. Both need to do more of the other's work. Not because it's easy or even fun, but because it's still the best way to bring your vision to the world.","April 9, 2011","makers, managers, collaboration"
Insist on the coin flip,"Very often, we’re challenged to make decisions with too little information. Sometimes, there’snoinformation–merely noise. The question is: how will you decide?
Consider the challenge we faced when setting the pricing for a brand of software we were launching in 1986. It was the biggest project to date of my short career… more than a year of work by forty people. Should these games cost $29, $34 or $39 each? My bosses and I had one day to finalize our decision for the salesforce.
Unlike Harvard case studies, we had no graphs, no history, no data. We were the first in the category and there was just nothing significant to go on. The meeting was held late on a Thursday. In addition to my newly minted Stanford MBA, we also had two from Harvard, one from Tuck and another I think from Wharton in the room.
We talked for an hour and then did the only intelligent thing–we flipped a coin. To be sure we had it right, we double checked and flipped two out of three. The only mistake we made was wasting an hour pontificating and arguing before we flipped.
This is also the way we should settle closely contested elections. We know the error rate for counting ballots is some percentage–say it’s .01%. Whenever the margin is less than the error rate, we should flip. Not waste months and millions in court, we should insist on the flip. Anything else is a waste of time and money.
Or consider the dilemma of the lucky high school student with five colleges to choose from. UVM or Oberlin or Bowdoin or Wesleyan or who knows what famous schools. Once you’ve narrowed it down and all you’re left with is a hunch, once there are no data points to give you a rational way to pick, stop worrying. Stop analyzing. Don’t waste $4,000 and a month of anxiety visiting the schools again. The data you’ll collect (one lucky meeting, one good day of weather) is just not relevant to making an intelligent decision. Any non-fact based research is designed to help you feel better about your decision, not to help you make a more effective decision.
One last example: if you know from experience that checking job references in your industry gives you basically random results (some people exaggerate, some lie out of spite), then why are you checking?
When there isn’t enough data, when there can’t be enough data,insist on the flip.
By refusing to lie to yourself, by not telling yourself a fable to make the decision easier, you'll understand quite clearly when you're winging it.
Once you embrace this idea, it’s a lot easier not to second guess your decisions–and if you're applying to college, you’ll free up enough time to write a novel before you even matriculate.","April 8, 2011","decision-making, coin flip, uncertainty"
Limited (and unlimited),"Two deadlines today:
Eight tickets left for the upcomingApril 11 full day eventin NYC.
A few hours to buy the five-pack ofPoke the Boxat a big discount. (Not many left, it seems).
It fascinates me that books are generallyunlimited. A popular book never goes out of print. An unpopular ebook never goes out of print either. They areheretoday and they will be here tomorrow.
It's funny how a scarcity of availability and a ticking clock changes our perspective and the desire to take action.","April 7, 2011","deadlines, scarcity, availability"
Perfect vs. interesting,"There are two jobs available to most of us:
You can be the person or the organization that's perfect. The one that always ships on time, without typos, that delivers flawlessly and dots every i. You can be the hosting company or the doctor that might be boring, but is always right.
Or you can be the person or the organization that's interesting. The thing about being interesting, making a ruckus, creating remarkable products and being magnetic is that you only have to be that way once in a while. No one is expected to be interesting all the time.
Fedex vs. Playwrights Horizons.
When an interesting person is momentarily not-interesting, I wait patiently. When a perfect organization, the boring one that's constantly using its policies to dumb things down, is imperfect, I get annoyed. Because perfect has to be perfect all the time.",,"Perfection, Interesting, Organizations"
Who’s responsible for service design?,"How many people should be answering the phone at Zappos on a Saturday? What’s Southwest Airlines policy regarding hotel stays and cancelled flights? Should the knobs on the shower at the hotel go side by side or one above the other? Can I turn it on without getting sprayed with cold water? How many steps from the front of the hotel to the registration desk?
Too often, we blame bad service on the people who actually deliver the service. Sometimes (often) it’s not their fault. Sadly, the complaints rarely make it as far as the overpaid (or possibly overworked) executive who made the bad design decision in the first place. It’s the architecture of service that makes the phone ring and that makes customers leave.
Three quick tips for anyone who cares about this:1. Require service designers to sign their work. Who decided to make it the way it is?2. Run a customer service audit. Walk through the building or the software or the phone tree with all the designers in the room and call out what’s not right.3. Make it easy for complaints (and compliments) about each decision to reach the designer (and her boss).
In my experience, most of the problems are caused by ignorance and isolation, not incompetence or a lack of concern.","April 6, 2011","Service design, customer service, accountability"
The difference between blueberries and apples,"(one bad blueberry spoils the whole bunch)
If you serve yourself blueberries by the handful, you won’t be able to inspect each one. And so just one rotten blueberry can ruin the entire bowl of cereal.
An apple is different. It’s hand picked. Pick the wrong one and it’s not such a big deal, you can just pick another.
If you sell apples, then, the goal is to make the great ones great, really great. If you’re in the blueberry business, on the other hand, the goal is to eliminate defects.
An artist who works on matters of personal taste, then, can afford to go to the edges… in fact, she must. Let the buyer choose! Books and paintings and houses are apples.
The manufacturer of fungible items, on the other hand, embraces six sigma, because recovering from a failure is expensive (and it’s your fault). Sutures are blueberries.","April 5, 2011","blueberries, apples, quality control"
Moving beyond teachers and bosses,"We train kids to deal withteachersin a certain way: Find out what they want, and do that, just barely, because there are other things to work on. Figure out how to say back exactly what they want to hear, with the least amount of effort, and you are a 'good student.'
We train employees to deal withbossesin a certain way: Find out what they want, and do that, just barely, because there are other  things to do. Figure out how to do exactly what they want, with the least amount of effort, and the least risk of failure and you are a 'good worker.'
The attitude of minimize is a matter of self-preservation. Raise the bar, the thinking goes, and the boss will work you harder and harder. Take initiative and you might fail, leading to a reprimand or termination (think about that word for a second… pretty frightening).
The linchpin, of course, can't abide the attitude of minimize. It leaves no room for real growth and certainly doesn't permit an individual to become irreplaceable.
If your boss is seen as a librarian, she becomes a resource, not a limit. If you view the people you work with as coaches, and your job as a platform, it can transform what you do each day, starting right now. ""My boss won't let me,"" doesn't deserve to be in your vocabulary. Instead, it can become, ""I don't want to do that because it's not worth the time/resources."" (Or better, it can become, ""go!"")
The opportunity of our age is to get out of this boss as teacher as taskmaster as limiter mindset. We need more from you than that.","April 4, 2011","1. Mindset  
2. Growth  
3. Initiative"
The worst voice of the brand *is* the brand,"We either ignore your brand or we judge it, usually with too little information. And when we judge it, we judge it based on the actions of the loudest, meanest, most selfish member of your tribe.
When a zealot advocates violence, outsiders see all members of his tribe as advocates of violence.
When a doctor rips off Medicare, all doctors are seen as less trustworthy.
When a fundamentalist advocates destruction of outsiders, all members of that organization are seen as intolerant.
When a soldier commits freelance violence, all citizens of his nation are seen as violent.
When a car rental franchise rips off a customer, all outlets of the franchise suffer.
Seems obvious, no? I wonder, then, why loyal and earnest members of the tribe hesitate to discipline, ostracize or expel the negative outliers.
""You're hurting us, this is wrong, we are expelling you.""
What do you stand for?","April 3, 2011","brand perception, negative outliers, tribal judgement"
Ten years of changing the world,"Acumencelebrates its tenth anniversary this week.
Lesson 1: In fact, youcanmake a difference, you can start something from scratch, you can build something without authority or permission. Passionate people on a mission can make change happen.
Lesson 2: In fact, philanthropy works. Building systems and enhancing entrepreneurial outcomes generates results far bigger than the resources invested.
Lesson 3: You better be prepared to stick it out, to exert yourself, to last longer than you ever expected and to care so much it hurts.
Some highlights:
That a small band of talented, driven people could make this happen isn't surprising to me. What surprises me is that we still wonder whether change like this is possible.","April 2, 2011","Anniversary, Philanthropy, Change"
"Dancing faster than ever, but why?","I just read a relentlessly snarkyprofileof the brilliant chef Charlie Trotter. Charlie is one of the pioneers of modern cooking, a gracious host and a perfectionist as well.
TheTimesis disappointed that he hasn't opened chains of restaurants, made a fool of himself on reality TV or decamped to a more expensive building in Chicago. All he's done, it seems, is mentor an entire generation of chefs, consistently create amazing meals and also donate once-in-a-lifetime, multi-course dinners for rising high school students in Chicago (150 times a year).
There will always be someone telling you that you're not hip enough, famous enough, edgy enough or whatever enough. That's their agenda. What's yours?
Shun the non-believers.",,"Charlie Trotter, modern cooking, mentorship"
Don’t be a fool,"There's a day (actually, two) reserved for swapping out the batteries in your smoke detector.
Perhaps today could be a day for backing up all the data you care about. All your music, say, or your passwords or your files.
If you need a hard drive, here arethree. (Or be double safe and useDropbox.) But that's not the hard part. The hard part is doing it before you go to bed tonight. And storing it at a friend's house when you're done.
If you care about it, back it up. (After I wrote this, saw this well donepre-steal).","April 1, 2011","backing up, smoke detector, data security"
Introducing white space links,"The challenge of monetizing the web is a tricky one, but a new venture launched right here and right now is out to solve that problem.
YOU FOUND ONE. CALL US TO BUY THIS SPACE!
It's called whItespAcelInks.
VISIT OUR SNACKBAR.ORG PLEASE
There's all this unused white space on the web. Spaces in between paragraphs or links. Wasted.
ARE YOU THIRSTY? TIME FOR A SOFT DRINK.
Consumers are tired of being overwhelmed by ads and by pages that are stuffed to the gills with ads. What if the ads were invisible? What if we could insert links into the white spaces, links you didn't have to see but could still be clicked on? What if those ads were carefully targeted, location-based and mobile?
IT WORKS FOR LINKS, TOO: http://www.squidoo.com/seth
This is even better than permission marketing.It's invisible marketing.
PLEASE DON'T TELL ANYONE
In one fell swoop (does anything ever happen in two fell swoops?) we can double or triple the ad inventory of any website! And there's no need for complicated creative, because, after all, the links are invisible.
Some highlights from the funding plan:
HAVE A GOOD APRIL. DON'T TAKE ANYTHING AT FACE VALUE.
First round funding, announced today, is $11 million. We wanted to keep it modest and prove ourselves in the marketplace. The biggest challenge for us going forward is that the service only runs one day a year.",,"white space links, invisible marketing, monetizing the web"
How to be interviewed,The explosion of media channels and public events means that more people are being interviewed about more topics than ever before. It might even happen to you… and soon.,"May 31, 2011","interview, media, public events"
The hard part (one of them),"A guy asked his friend, the writer David Foster Wallace,
""Say, Dave, how'd y'get t'be so dang smart?""
His answer:
""I did the reading.""
No one said the preparation part was fun, but yes, it's important. I wonder why we believe we can skip it and still be so dang smart.",,"Preparation, Knowledge, Reading"
Agency,"A door is not responsible if it swings and hits you in the nose. Neither is the hand of the guy who punched you.
Philosphers and lawyers talk about agency. Responsibility comes with the capacity to act in the world. If you can decide, if you can act, you have agency.
Life without agency would be a nightmare. Trapped in a box, unable to do anything by choice, nothing but a puppet…
Why then, do organizations and individuals struggle so intently to avoid the responsibility that comes with agency? ""It's not my job, my boss won't let me, there's a federal regulation, we're prohibited, it's our supplier, that's our policy…""
It's not something you can turn on or off. Either you have the capacity to act in the world. Or you don't.","May 30, 2011","Agency, Responsibility, Choice"
All economics is local,"The media tries to report on the world economy or the national economy, or even the economy in Detroit or LA. This is easy to talk about, statistically driven and apparently important to everyone.
Alas, this has virtually nothing to do with your day, your job and your approach to the market. That's because geography isn't as important as it used to be, but more than that, it has to do with the fact that you don't sell to everyone, and the economy is unevenly distributed.
If the unemployment rate in your industry doesn't match the national numbers, the national numbers don't matter so much.
At the largest Lexus dealer in New Jersey, they're sold out of many models, with a waiting list. In some towns in Missouri, the unemployment rate is twice what it is in your town. In the tech industry, the rate you can charge for developing killer social apps on a tablet is high and going up.
Economics used to be stuck in town. Now, as markets and industries transcend location, useful economic stats describe the state of the people you're working with and selling to.
If your segment is stuck, it might make sense to stick it out. It also might be worth thinking about the cost of moving to a different economy.","May 29, 2011","local economics, unemployment rates, market segmentation"
Bar gymnastics,"Some people I know work hard to lower the bar at work.
That was my strategy at gym class in high school. Not only did I do the minimum amount permitted, I worked hard to do just a little bit less than that. By the time the semester was over, the teacher was relieved if I even bothered to show up at all.
Most people seek to meet the bar. They figure out what's expected, and do that.
A few people, very few, work to relentlesslyraisethe bar. She's the one who overdelivers on projects, shows up ahead of schedule, instigates, suggests and pushes.
Raising the bar is exhausting, no doubt about it. I'm not sure the people who engage in this apparently reckless behavior would have it any other way, though. They get to experience a fundamentally different day, a different journey and a different reputation than everyone else.
[Why now? What has changed that makes promoting bar gymnastics more than a selfish effort by the boss to get more labor out of the workforce?
Simple. This is the post-industrial era. Success is not about speeding up the assembly line as much as it relies on individuals able to create leaps forward. The person capable of doing that sort of work is in far higher demand than ever before.]
PS congratulations to my wife Helene on opening hergluten-free and dairy free bakery. For those keeping track, it's alsokosher and pareve.Another example of raising the bar.","May 28, 2011","bar gymnastics, raising the bar, individual success"
Caring,"No organization cares about you. Organizations aren't capable of this.
Your bank, certainly, doesn't care. Neither does your HMO or even your car dealer. It's amazing to me that people are surprised to discover this fact.
People, on the other hand, are perfectly capable of caring. It's part of being a human. It's only when organizational demands and regulations get in the way that the caring fades.
If you want to build a caring organization, you need to fill it with caring people and thenget out of their way. When your organization punishes people for caring, don't be surprised when people stop caring.
When you free your employees to act like people (as opposed to cogs in a profit-maximizing efficient machine) then the caring can't help but happen.","May 27, 2011","Caring, Organizations, People"
Looking for the right excuse,"This is the first warning sign that a project is in trouble. Sometimes it even begins before the project does.
Quietly, our subconscious starts looking around for an excuse, deniability and someone to blame. It gives us confidence and peace of mind. [It's much easier to be calm when the police car appears in your rear view mirror if you have an excuse handy.]
Amazingly, we often look for the excuse before we even accept the project. We say to ourselves, ""well, I can start this, and if it doesn't work perfectly, I can point out it was the …"" Then, as the team ramps up, bosses appear and events occur (or not), we continually add to and refine our excuse list, reminding ourselves of all the factors that were out of our control. Decades ago, when I used to sell by phone, I often found myself describing why I was unable to close this particular sale–and realized I was articulating these reasons while the phone was still ringing.
People who have a built-in all-purpose excuse (middle child syndrom, wrong astrology sign, some slight at the hands of the system long ago) often end up failing–they have an excuse ready to go, so it's easier to back off when the going is rough.
Here's an alternative to the excuse-driven life: What happens if you relentlessly avoid looking for excuses at all?
Instead of seeking excuses, the successful project is filled with people who are obsessed withavoidingexcuses. If you relentlessly work to avoid opportunities to use your ability to blame, you may never actually need to blame anyone. If you're not pulled over by the cop, no need to blame the speedometer, right?","May 26, 2011","excuses, accountability, project management"
Kingmaker,"Who can make a hit?
Zipf's Law is the inevitable distribution of items into a curve that follows the power law. For example, the letter ""e"" appears in English far more often than the letter ""u"". For just about every human thing we look at (record album sales, votes in political campaigns, income) there's a distribution with hits and with non-hits. Click on the picture at right to enlarge.
Chris Anderson helped us understand a huge implication of the power law curve in his classicThe Long Tail. The relevant notion follows…
In any physical store, the store owner has to make bets. She needs to buy inventory, to choose this over that, to make decisions in advance about what's going to sell. With Christmas coming, the owner might need to make these decisions five months in advance, with no chance to re-order if there's a hit and nothing but the trash bin available for what doesn't sell.
The relentless physics of the situation, then, means that retailers needed the ability to not just pick hits, but tomakethem. And so they invented thespeed tableand the pile of stuff at the checkout. They perfected the end cap display and the free standing insert as well.
Years ago, getting our products on the table next to the check out at Target and Lechmere was enough to make the year at the software company where I worked. Two big retailers picked our product and that was enough.
Retailers want to be kings and they want to annoint kings. They want the lever to decide what sells and what doesn't, because it earns them power of pricing and profit (if the retailer can make your product a hit, she can extract better terms. If all she does is sell what sells, then the manufacturer is in charge).
Thanks to the long tail, the digital world ignored this thinking. The iTunes store, and Netflix, for example, take the position that, ""We're going to sell everything, and a lot of it. We don't carewhichthing, because it's all the same to us. Just put everything in the store and the market will sort it out.""
As a result, they have far less promotional power. They didn't build a lever. The app store doesn't make a hit, it contains hits. Most long tail retailers are staffed around this idea and have a culture that reflects it. They'll sell everything/anything, because the longer the tail, the better.
Marketers, of course, wanttheirproduct to be the hit, and they're always in search of someone who will make that happen. They understand that the long tail sellers will do well because they sell everything, but marketers don't care about everything–they care about their thing.
And so sites likeLivingSocialandWoot) built online levers, permission assets that allow them to become the new kingmakers. If they pick your product and alert their audience, you have a hit, at least for a short while (and sometimes at great cost to the marketer, which turns into profit for the kingmaker.)
Seeing the success of retailers who are able to make kings, sites like Netflix are trying to figure out how to transform themselves. Finding the lever, though, isn't trivial. The cultural shift from ubiquity to selection is difficult.
The challenge for online retailers (and perhaps for your company) is to build the attention and trust and leverage you need to make kings, to earn attention and trust and make hits. While it's digitally enticing to be the indifferent-to-choice long-tail retailer, the fact is that marketers will always be willing to pay a premium to someone with the ability to generate a hit.","May 25, 2011","Kingmaker, Power Law, Long Tail"
